Week TimeSeries
2007-42 0.0019
2007-43 0.0032
2007-44 0.0026
2007-45 0.0041
2007-46 0.0051
2007-47 0.0061
2007-48 0.0079
2007-49 0.0089
2007-50 0.012
2007-51 0.0189
2007-52 0.0292
2008-1 0.0456
2008-2 0.0598
2008-3 0.0654
2008-4 0.0695
2008-5 0.0721
2008-6 0.0695
2008-7 0.0661
2008-8 0.0632
2008-9 0.0562
2008-10 0.0413
2008-11 0.0275
2008-12 0.0192
2008-13 0.0134
2008-14 0.0097
2008-15 0.0068
2008-16 0.0048
2008-17 0.0031
2008-42 0.0028
2008-43 0.0027
2008-44 0.0032
2008-45 0.0043
2008-46 0.0048
2008-47 0.0062
2008-48 0.0076
2008-49 0.0089
2008-50 0.0115
2008-51 0.0156
2008-52 0.02
2009-1 0.0318
2009-2 0.044
2009-3 0.0628
2009-4 0.0823
2009-5 0.0764
2009-6 0.0664
2009-7 0.0513
2009-8 0.0417
2009-9 0.0374
2009-10 0.0291
2009-11 0.0215
2009-12 0.0173
2009-13 0.0144
2009-14 0.0116
2009-15 0.0076
2009-16 0.0058
2009-17 0.0049
2009-18 0.0045
2009-19 0.0055
2009-20 0.0046
2009-21 0.0038
2009-22 0.0032
2009-23 0.0022
2009-24 0.0019
2009-25 0.0016
2009-26 0.0017
2009-27 0.0012
2009-28 0.0012
2009-29 0.0018
2009-30 0.0026
2009-31 0.0024
2009-32 0.0018
2009-33 0.0017
2009-34 0.0017
2009-35 0.0025
2009-36 0.0029
2009-37 0.0037
2009-38 0.0047
2009-39 0.0074
2009-40 0.0105
2009-41 0.0148
2009-42 0.0176
2009-43 0.0449
2009-44 0.0931
2009-45 0.1265
2009-46 0.1292
2009-47 0.1102
2009-48 0.0672
2009-49 0.0376
2009-50 0.0225
2009-51 0.0184
2009-52 0.0132
2009-53 0.0129
2010-1 0.0136
2010-2 0.0147
2010-3 0.0167
2010-4 0.0191
2010-5 0.02
2010-6 0.0212
2010-7 0.0207
2010-8 0.0198
2010-9 0.0181
2010-10 0.0165
2010-11 0.0138
2010-12 0.0128
2010-13 0.0105
2010-14 0.0093
2010-15 0.0082
2010-42 0.0072
2010-43 0.0081
2010-44 0.0082
2010-45 0.0094
2010-46 0.0107
2010-47 0.0128
2010-48 0.0142
2010-49 0.0171
2010-50 0.0232
2010-51 0.0316
2010-52 0.044
2011-1 0.0498
2011-2 0.0644
2011-3 0.082
2011-4 0.1041
2011-5 0.1104
2011-6 0.1005
2011-7 0.0777
2011-8 0.0545
2011-9 0.0412
2011-10 0.031
2011-11 0.021
2011-12 0.0163
2011-13 0.0114
2011-14 0.0094
2011-15 0.0082
2011-16 0.0067
2011-17 0.0052
2011-42 0.0047
2011-43 0.0054
2011-44 0.0053
2011-45 0.0072
2011-46 0.0089
2011-47 0.0114
2011-48 0.0129
2011-49 0.0136
2011-50 0.0176
2011-51 0.022
2011-52 0.0307
2012-1 0.0313
2012-2 0.0424
2012-3 0.063
2012-4 0.0886
2012-5 0.0964
2012-6 0.0887
2012-7 0.0714
2012-8 0.0575
2012-9 0.0403
2012-10 0.0295
2012-11 0.0213
2012-12 0.0149
2012-13 0.0113
2012-14 0.0085
2012-15 0.0084
2012-16 0.0068
2012-17 0.0046
2012-42 0.0034
2012-43 0.0046
2012-44 0.0051
2012-45 0.0069
2012-46 0.0077
2012-47 0.0089
2012-48 0.0107
2012-49 0.0131
2012-50 0.0167
2012-51 0.0224
2012-52 0.0256
2013-1 0.0352
2013-2 0.0518
2013-3 0.0664
2013-4 0.0825
2013-5 0.0957
2013-6 0.0999
2013-7 0.0972
2013-8 0.0924
2013-9 0.0768
2013-10 0.0594
2013-11 0.0431
2013-12 0.032
2013-13 0.0222
2013-14 0.0156
2013-15 0.0114
2013-16 0.0073
2013-17 0.0051
2013-42 0.0036
2013-43 0.0046
2013-44 0.0046
2013-45 0.0067
2013-46 0.0077
2013-47 0.0095
2013-48 0.0123
2013-49 0.0142
2013-50 0.0171
2013-51 0.0195
2013-52 0.0223
2014-1 0.0296
2014-2 0.0412
2014-3 0.0505
2014-4 0.0579
2014-5 0.0655
2014-6 0.0667
2014-7 0.0627
2014-8 0.0554
2014-9 0.0473
2014-10 0.0394
2014-11 0.0338
2014-12 0.0288
2014-13 0.0207
2014-14 0.0164
2014-15 0.0123
2014-16 0.009
2014-17 0.0055
2014-42 0.0035
2014-43 0.0048
2014-44 0.0065
2014-45 0.0081
2014-46 0.0085
2014-47 0.0103
2014-48 0.0123
2014-49 0.0142
2014-50 0.0175
2014-51 0.0225
2014-52 0.0263
2015-1 0.0409
2015-2 0.0614
2015-3 0.0894
2015-4 0.1087
2015-5 0.1058
2015-6 0.0998
2015-7 0.0822
2015-8 0.0689
2015-9 0.0547
2015-10 0.0435
2015-11 0.0373
2015-12 0.0321
2015-13 0.0244
2015-14 0.019
2015-15 0.0148
2015-16 0.0115
2015-17 0.0075
2015-42 0.004
2015-43 0.005
2015-44 0.0068
2015-45 0.0076
2015-46 0.0088
2015-47 0.0102
2015-48 0.0116
2015-49 0.0121
2015-50 0.0145
2015-51 0.0166
2015-52 0.0211
2015-53 0.0187
2016-1 0.0239
2016-2 0.0276
2016-3 0.0362
2016-4 0.0473
2016-5 0.0547
2016-6 0.0606
2016-7 0.059
2016-8 0.0614
2016-9 0.0588
2016-10 0.0583
2016-11 0.05
2016-12 0.0423
2016-13 0.0318
2016-14 0.023
2016-15 0.0185
2016-16 0.0119
2016-42 0.0059
2016-43 0.0071
2016-44 0.0081
2016-45 0.0098
2016-46 0.0125
2016-47 0.0158
2016-48 0.02
2016-49 0.0252
2016-50 0.0431
2016-51 0.0724
2016-52 0.0955
2017-1 0.0909
2017-2 0.087
2017-3 0.0762
2017-4 0.0662
2017-5 0.0565
2017-6 0.0425
2017-7 0.032
2017-8 0.0264
2017-9 0.0219
2017-10 0.0176
2017-11 0.0148
2017-12 0.0123
2017-13 0.0103
2017-14 0.0086
2017-15 0.0067
2017-16 0.0059
2017-17 0.0054
